,Key,Player Name,Player Team,Season,Position,Games Played,Games Started,Season Age,Rec Red Zone Targets PG,Rec Receptions PG,Rec Touchdowns PG,Rec Yards PG,Fumbles PG,Lost Fumbles PG,Rush Attempts PG,Rush Avg Yards PG,Rush Red Zone Attempts PG,Rush Scrambles PG,Rush Touchdowns PG,Rush Yards PG,Passing Completion Pct,Passing Hurries PG,Passing Interceptions PG,Passing Redzone Attempts PG,Passing Touchdowns PG,Passing Yards PG,Field Goal Attempts PG,Field Goal Longest,Field Goal Made PG,Field Goal Yards PG,Extra Pts Attempts PG,Extra Pts Made PG,PID
8,8fc65820-f565-44e2-8635-3e1cdf165bf6 2013 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Chris Hogan,Bills,2013,WR,16,0,26,0.0,0.625,0.0,5.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8fc65820-f565-44e2-8635-3e1cdf165bf6
9,8fc65820-f565-44e2-8635-3e1cdf165bf6 2014 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Chris Hogan,Bills,2014,WR,16,2,27,0.5625,2.5625,0.25,26.625,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8fc65820-f565-44e2-8635-3e1cdf165bf6
10,8fc65820-f565-44e2-8635-3e1cdf165bf6 2015 768c92aa-75ff-4a43-bcc0-f2798c2e1724,Chris Hogan,Bills,2015,WR,16,4,28,0.3125,2.25,0.125,28.125,0.0,0.0,0.0625,0.25,0.0625,0.0,0.0,0.25,100.0,0.0,0.0,0.0625,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,8fc65820-f565-44e2-8635-3e1cdf165bf6
11,8fc65820-f565-44e2-8635-3e1cdf165bf6 2016 97354895-8c77-4fd4-a860-32e62ea7382a,Chris Hogan,Patriots,2016,WR,15,14,29,0.3333333333333333,2.533333333333333,0.26666666666666666,45.33333333333334,0.06666666666666668,0.06666666666666668,0.2,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8fc65820-f565-44e2-8635-3e1cdf165bf6
12,8fc65820-f565-44e2-8635-3e1cdf165bf6 2017 97354895-8c77-4fd4-a860-32e62ea7382a,Chris Hogan,Patriots,2017,WR,9,7,30,0.5555555555555556,3.7777777777777777,0.5555555555555556,48.77777777777778,0.0,0.0,0.3333333333333333,0.6296666666666668,0.0,0.0,0.0,1.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8fc65820-f565-44e2-8635-3e1cdf165bf6
13,8fc65820-f565-44e2-8635-3e1cdf165bf6 2018 97354895-8c77-4fd4-a860-32e62ea7382a,Chris Hogan,Patriots,2018,WR,16,7,31,0.1875,2.1875,0.1875,33.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8fc65820-f565-44e2-8635-3e1cdf165bf6
63,e6c40f79-1bbd-4f62-9391-7f535f110c0d 2012 5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Mark Sanchez,Jets,2012,QB,15,15,26,0.0,0.0,0.0,0.0,0.9333333333333332,0.5333333333333333,1.4666666666666666,0.08486666666666666,0.0,0.0,0.0,1.8666666666666667,54.305,0.0,1.2,0.26666666666666666,0.8666666666666667,192.2,0.0,0.0,0.0,0.0,0.0,0.0,e6c40f79-1bbd-4f62-9391-7f535f110c0d
65,e6c40f79-1bbd-4f62-9391-7f535f110c0d 2014 386bdbf9-9eea-4869-bb9a-274b0bc66e80,Mark Sanchez,Eagles,2014,QB,9,8,28,0.0,0.0,0.0,0.0,0.7777777777777778,0.3333333333333333,3.7777777777777777,0.2843333333333333,0.5555555555555556,0.0,0.1111111111111111,9.666666666666666,64.078,0.0,1.2222222222222223,4.666666666666667,1.5555555555555556,268.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,e6c40f79-1bbd-4f62-9391-7f535f110c0d
66,e6c40f79-1bbd-4f62-9391-7f535f110c0d 2015 386bdbf9-9eea-4869-bb9a-274b0bc66e80,Mark Sanchez,Eagles,2015,QB,4,2,29,0.0,0.0,0.0,0.0,0.25,0.25,1.5,0.91675,0.0,0.5,0.0,5.5,64.835,5.0,1.0,0.75,1.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,e6c40f79-1bbd-4f62-9391-7f535f110c0d
67,e6c40f79-1bbd-4f62-9391-7f535f110c0d 2016 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Mark Sanchez,Cowboys,2016,QB,2,0,30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.25,0.0,0.5,0.0,-1.0,55.556000000000004,2.5,1.0,0.5,0.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,e6c40f79-1bbd-4f62-9391-7f535f110c0d
69,e6c40f79-1bbd-4f62-9391-7f535f110c0d 2018 22052ff7-c065-42ee-bc8f-c4691c50e624,Mark Sanchez,Redskins,2018,QB,2,1,32,0.0,0.0,0.0,0.0,0.5,0.0,0.5,4.0,0.0,0.5,0.0,4.0,54.286,5.0,1.5,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,e6c40f79-1bbd-4f62-9391-7f535f110c0d
137,1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2012 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Marvin Jones Jr.,Bengals,2012,WR,11,5,22,0.18181818181818185,1.6363636363636365,0.09090909090909093,18.272727272727273,0.0,0.0,0.2727272727272727,1.4242727272727274,0.0,0.0,0.0,4.2727272727272725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1a2fbc23-e6db-4d2f-a152-2c774341b7c4
138,1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Marvin Jones Jr.,Bengals,2013,WR,16,3,23,0.875,3.1875,0.625,44.5,0.0,0.0,0.5,0.5078125,0.0,0.0,0.0,4.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1a2fbc23-e6db-4d2f-a152-2c774341b7c4
140,1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2015 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Marvin Jones Jr.,Bengals,2015,WR,16,13,25,0.75,4.0625,0.25,51.0,0.0,0.0,0.3125,0.4125,0.0625,0.0,0.0,2.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1a2fbc23-e6db-4d2f-a152-2c774341b7c4
141,1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2016 c5a59daa-53a7-4de0-851f-fb12be893e9e,Marvin Jones Jr.,Lions,2016,WR,15,15,26,0.4,3.6666666666666665,0.26666666666666666,62.0,0.0,0.0,0.06666666666666668,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1a2fbc23-e6db-4d2f-a152-2c774341b7c4
142,1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2017 c5a59daa-53a7-4de0-851f-fb12be893e9e,Marvin Jones Jr.,Lions,2017,WR,16,16,27,0.375,3.8125,0.5625,68.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1a2fbc23-e6db-4d2f-a152-2c774341b7c4
143,1a2fbc23-e6db-4d2f-a152-2c774341b7c4 2018 c5a59daa-53a7-4de0-851f-fb12be893e9e,Marvin Jones Jr.,Lions,2018,WR,9,9,28,0.4444444444444444,3.888888888888889,0.5555555555555556,56.444444444444436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1a2fbc23-e6db-4d2f-a152-2c774341b7c4
185,01291a8d-d97c-4d88-b497-b5ad4b72f626 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Brandon Weeden,Browns,2012,QB,15,15,29,0.0,0.0,0.0,-0.6,0.4,0.06666666666666668,1.8,0.2740666666666668,0.0,0.0,0.0,7.4,57.446999999999996,0.0,1.1333333333333333,0.4,0.9333333333333332,225.66666666666663,0.0,0.0,0.0,0.0,0.0,0.0,01291a8d-d97c-4d88-b497-b5ad4b72f626
186,01291a8d-d97c-4d88-b497-b5ad4b72f626 2013 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Brandon Weeden,Browns,2013,QB,8,5,30,0.0,0.0,0.0,0.0,0.75,0.25,1.5,0.458375,0.125,0.0,0.0,5.5,52.809,0.0,1.125,3.5,1.125,216.375,0.0,0.0,0.0,0.0,0.0,0.0,01291a8d-d97c-4d88-b497-b5ad4b72f626
187,01291a8d-d97c-4d88-b497-b5ad4b72f626 2014 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Brandon Weeden,Cowboys,2014,QB,5,1,31,0.0,0.0,0.0,0.0,0.2,0.0,1.2,-0.0334,0.0,0.0,0.0,-0.2,58.537,0.0,0.4,1.2,0.6,60.6,0.0,0.0,0.0,0.0,0.0,0.0,01291a8d-d97c-4d88-b497-b5ad4b72f626
188,01291a8d-d97c-4d88-b497-b5ad4b72f626 2015 82d2d380-3834-4938-835f-aec541e5ece7,Brandon Weeden,Texans,2015,QB,2,1,32,0.0,0.0,0.0,0.0,1.0,0.5,3.5,1.2145,1.0,2.0,0.5,8.5,61.905,4.5,0.0,4.5,1.5,152.5,0.0,0.0,0.0,0.0,0.0,0.0,01291a8d-d97c-4d88-b497-b5ad4b72f626
189,01291a8d-d97c-4d88-b497-b5ad4b72f626 2015 e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Brandon Weeden,Cowboys,2015,QB,4,3,32,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.83325,0.0,1.25,0.0,7.5,72.449,2.75,0.5,2.5,0.5,184.5,0.0,0.0,0.0,0.0,0.0,0.0,01291a8d-d97c-4d88-b497-b5ad4b72f626
192,01291a8d-d97c-4d88-b497-b5ad4b72f626 2018 82d2d380-3834-4938-835f-aec541e5ece7,Brandon Weeden,Texans,2018,QB,1,0,35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01291a8d-d97c-4d88-b497-b5ad4b72f626
193,3699dfd9-d437-43f7-b674-adbb31e7e64b 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Colt McCoy,Browns,2012,QB,3,0,26,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.25,0.0,0.0,0.0,5.0,52.941,0.0,0.0,0.0,0.3333333333333333,26.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3699dfd9-d437-43f7-b674-adbb31e7e64b
194,3699dfd9-d437-43f7-b674-adbb31e7e64b 2013 f0e724b0-4cbf-495a-be47-013907608da9,Colt McCoy,49ers,2013,QB,4,0,27,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-0.25,0.75,0.0,0.0,-1.5,100.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,3699dfd9-d437-43f7-b674-adbb31e7e64b
195,3699dfd9-d437-43f7-b674-adbb31e7e64b 2014 22052ff7-c065-42ee-bc8f-c4691c50e624,Colt McCoy,Redskins,2014,QB,5,4,28,0.0,0.0,0.0,0.0,1.2,0.2,3.2,0.825,0.6,0.0,0.2,13.2,71.094,0.0,0.6,2.0,0.8,211.4,0.0,0.0,0.0,0.0,0.0,0.0,3699dfd9-d437-43f7-b674-adbb31e7e64b
196,3699dfd9-d437-43f7-b674-adbb31e7e64b 2015 22052ff7-c065-42ee-bc8f-c4691c50e624,Colt McCoy,Redskins,2015,QB,2,0,29,0.0,0.0,0.0,0.0,0.5,0.0,1.5,-0.5,1.0,0.0,0.0,-1.5,63.636,1.0,0.0,0.5,0.5,64.0,0.0,0.0,0.0,0.0,0.0,0.0,3699dfd9-d437-43f7-b674-adbb31e7e64b
198,3699dfd9-d437-43f7-b674-adbb31e7e64b 2017 22052ff7-c065-42ee-bc8f-c4691c50e624,Colt McCoy,Redskins,2017,QB,1,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3699dfd9-d437-43f7-b674-adbb31e7e64b
199,3699dfd9-d437-43f7-b674-adbb31e7e64b 2018 22052ff7-c065-42ee-bc8f-c4691c50e624,Colt McCoy,Redskins,2018,QB,3,2,32,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,3.333333333333333,2.1,0.3333333333333333,2.333333333333333,0.0,21.0,62.963,2.6666666666666665,1.0,1.6666666666666667,1.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,3699dfd9-d437-43f7-b674-adbb31e7e64b
206,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1 2012 d5a2eb42-8065-4174-ab79-0a6fa820e35e,Josh Johnson,Browns,2012,QB,1,0,26,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1
207,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1 2013 ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Josh Johnson,Bengals,2013,QB,2,0,27,0.0,0.0,0.0,0.0,0.5,0.0,3.5,1.4285,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1
213,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1 2018 22052ff7-c065-42ee-bc8f-c4691c50e624,Josh Johnson,Redskins,2018,QB,4,3,32,0.0,0.0,0.0,0.0,0.5,0.0,5.75,1.30425,0.25,3.25,0.25,30.0,57.143,4.5,1.0,1.5,0.75,147.5,0.0,0.0,0.0,0.0,0.0,0.0,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1
317,22fb2b54-4936-4e8a-a48d-62096c0c9bb1 2014 de760528-1dc0-416a-a978-b510d20692ff,Drew Stanton,Cardinals,2014,QB,9,8,30,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,2.7777777777777777,0.28,0.4444444444444444,0.0,0.0,7.0,55.0,0.0,0.5555555555555556,2.6666666666666665,0.7777777777777778,190.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,22fb2b54-4936-4e8a-a48d-62096c0c9bb1
