,Season,Team ID,TKey,Pass Air Yds,Pass Attempts,Pass Avg Pocket Time,Pass Poor Throws,Passing Avg Yards,Passing Blitzes,Passing Completion Pct,Passing Completions,Passing Defended Passes,Passing Dropped Passes,Passing Gross Yards,Passing Hurries,Passing Interceptions,Passing Knockdowns,Passing Longest,Passing Longest TD,Passing Net Yds,Passing Pocket Time,Passing Rating,Passing Redzone Attempts,Passing Sack Yds,Passing Sacks,Passing Spikes,Passing Throw Away,Passing Touchdowns,Passing Yards
0,2012,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242012,1625,511,0,0,6.712,167,60.47,309,0,37,3430,0,17,0,68,68,3269,0.0,82,5,161,30,0,0,24,3269
1,2012,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062012,2154,504,0,0,6.796,192,58.135,293,0,37,3425,0,13,0,80,80,3182,0.0,76,5,243,37,0,0,13,3182
2,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32012,2054,493,0,0,6.446,213,55.172,272,0,33,3178,0,19,0,66,33,2891,0.0,68,4,287,47,0,0,14,2891
3,2012,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2012,2607,641,0,0,7.557,177,62.715,402,0,48,4844,0,9,0,83,83,4662,0.0,97,3,182,27,0,0,34,4662
4,2012,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232012,2112,540,0,0,7.05,196,62.037,335,0,28,3807,0,16,0,73,73,3578,0.0,88,10,229,46,0,0,28,3578
5,2012,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2012,1808,566,0,0,6.481,202,57.951,328,0,39,3668,0,18,0,71,71,3435,0.0,73,7,233,36,0,0,16,3435
6,2012,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2012,2372,560,0,0,7.136,191,59.643,334,0,25,3996,0,11,0,61,61,3739,0.0,86,4,257,38,0,0,22,3739
7,2012,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982012,2166,574,0,0,6.99,171,61.672,354,0,30,4012,0,14,0,82,82,3787,0.0,88,9,225,37,0,0,27,3787
8,2012,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92012,2718,628,0,0,6.573,220,53.981,339,0,50,4374,0,18,0,70,70,0,0.0,76,9,246,41,0,0,23,4128
9,2012,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2012,2202,586,0,0,6.392,215,55.973,328,0,50,3746,0,17,0,81,81,3419,0.0,74,5,327,50,0,0,20,3419
10,2012,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72012,2259,554,0,0,7.303,163,63.899,354,0,34,4046,0,13,0,60,60,3830,0.0,89,4,216,28,0,0,22,3830
11,2012,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152012,2179,540,0,0,6.624,224,58.889,318,0,40,3577,0,16,0,71,71,3323,0.0,76,5,254,39,0,0,17,3323
12,2012,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02012,2796,588,0,0,7.944,216,68.367,402,0,39,4671,0,11,0,71,71,4534,0.0,105,15,137,21,0,0,37,4534
13,2012,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22012,1676,475,0,0,6.183,165,57.474,273,0,34,2937,0,20,0,57,33,2713,0.0,63,6,224,40,0,0,8,2713
14,2012,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12012,2265,629,0,0,6.824,207,59.777,376,0,42,4292,0,16,0,64,64,4084,0.0,82,6,208,27,0,0,24,4084
15,2012,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602012,3016,658,0,0,7.587,231,65.957,434,0,40,4992,0,19,0,85,85,4729,0.0,91,6,263,36,0,0,29,4729
16,2012,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802012,2245,618,0,0,6.134,234,59.385,367,0,31,4075,0,15,0,77,77,3791,0.0,78,10,284,48,0,0,18,3791
17,2012,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2012,2561,539,0,0,7.36,170,59.926,323,0,32,3967,0,15,0,80,80,3825,0.0,87,14,142,20,0,0,26,3825
18,2012,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242012,2023,442,0,0,8.294,111,65.837,291,0,37,3666,0,8,0,88,88,3422,0.0,102,4,244,33,0,0,24,3422
19,2012,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82012,2067,485,0,0,6.8,174,59.175,287,0,37,3298,0,16,0,60,60,2999,0.0,80,10,299,44,0,0,21,2999
20,2012,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2012,3044,740,0,0,6.945,176,60.135,445,0,50,5139,0,17,0,57,46,4927,0.0,81,6,212,29,0,0,22,4927
21,2012,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322012,2258,558,0,0,7.781,166,67.025,374,0,45,4342,0,8,0,73,72,4049,0.0,108,10,293,51,0,0,40,4049
22,2012,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522012,1325,483,0,0,5.696,197,62.112,300,0,26,2935,0,12,0,65,20,2751,0.0,81,6,184,32,0,0,18,2751
23,2012,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692012,2488,566,0,0,7.037,196,54.947,311,0,33,4144,0,17,0,95,64,3983,0.0,81,7,161,26,0,0,27,3983
24,2012,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292012,2654,615,0,0,7.673,173,68.618,422,0,27,4719,0,14,0,80,80,4509,0.0,99,14,210,28,0,0,32,4509
25,2012,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142012,2181,490,0,0,7.516,176,57.959,284,0,22,3927,0,12,0,82,53,3683,0.0,86,12,244,36,0,0,19,3683
26,2012,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732012,3024,671,0,0,7.73,199,63.04,423,0,49,5187,0,19,0,80,80,4997,0.0,96,13,190,26,0,0,43,4997
27,2012,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92012,2071,436,0,0,8.144,182,66.284,289,0,31,3551,0,8,0,57,49,3298,0.0,101,2,253,41,0,0,23,3298
28,2012,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2012,2020,608,0,0,5.564,183,55.428,337,0,35,3383,0,21,0,53,46,3005,0.0,63,3,378,58,0,0,11,3005
29,2012,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82012,1963,405,0,0,7.985,160,63.951,259,0,26,3234,0,10,0,67,46,3031,0.0,100,5,203,33,0,0,27,3031
30,2013,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242013,1865,522,0,0,5.944,145,57.28,299,0,35,3373,0,15,0,59,59,3103,0.0,75,39,270,48,0,8,16,3103
31,2013,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062013,2431,594,0,0,6.005,212,60.101,357,0,32,3966,0,19,0,67,53,0,0.0,80,64,399,58,0,26,24,3567
32,2013,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32013,1925,480,0,0,6.108,218,55.417,266,0,28,3270,0,22,0,69,69,2932,0.0,66,49,338,47,0,27,13,2932
33,2013,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2013,2329,628,0,0,6.508,203,60.51,380,0,53,4343,0,11,0,81,81,4087,0.0,87,83,256,40,0,13,25,4087
34,2013,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232013,2238,587,0,0,7.356,214,62.01,364,0,35,4318,0,20,0,82,82,4136,0.0,89,65,182,29,0,21,33,4136
35,2013,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2013,2381,681,0,0,5.943,237,55.653,379,0,50,4372,0,20,0,95,95,4047,0.0,75,74,325,49,0,43,26,4047
36,2013,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2013,2160,619,0,0,5.8,215,58.643,363,0,34,3914,0,23,0,74,66,3590,0.0,72,75,324,48,0,16,19,3590
37,2013,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982013,2249,586,0,0,6.855,174,64.334,377,0,36,4306,0,14,0,67,55,4017,0.0,92,90,289,43,0,14,28,4017
38,2013,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92013,1966,582,0,0,6.4,188,60.137,350,0,34,3952,0,10,0,73,73,3725,0.0,86,74,227,32,0,15,23,3725
39,2013,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2013,1673,592,0,0,5.813,191,58.953,349,0,37,3751,0,21,0,67,67,3441,0.0,71,76,310,50,0,24,16,3441
40,2013,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72013,2531,633,0,0,6.024,218,58.61,371,0,30,4183,0,22,0,66,62,3813,0.0,74,64,370,42,0,33,19,3813
41,2013,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152013,2055,533,0,0,6.559,184,61.538,328,0,39,3710,0,16,0,77,77,3496,0.0,83,56,214,37,0,15,22,3496
42,2013,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02013,2923,675,0,0,8.065,171,68.296,461,0,44,5572,0,10,0,78,78,5444,0.0,114,110,128,20,0,13,55,5444
43,2013,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22013,1657,546,0,0,6.117,215,60.989,333,0,38,3561,0,8,0,71,71,0,0.0,88,76,221,41,0,19,24,3340
44,2013,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12013,1906,519,0,0,6.435,190,57.418,298,0,28,3629,0,20,0,73,73,3340,0.0,73,54,289,44,0,24,17,3340
45,2013,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602013,2219,586,0,0,6.747,204,63.993,375,0,33,4226,0,12,0,82,82,3954,0.0,95,66,272,35,0,18,33,3954
46,2013,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802013,2368,508,0,0,8.091,165,61.024,310,0,24,4406,0,9,0,70,63,4110,0.0,102,60,296,46,0,27,32,4110
47,2013,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2013,2385,567,0,0,6.328,194,57.319,325,0,32,3875,0,29,0,70,70,3588,0.0,67,56,287,40,0,25,18,3588
48,2013,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242013,2214,611,0,0,6.139,216,58.101,355,0,46,4057,0,19,0,62,62,3751,0.0,76,65,306,43,0,21,20,3751
49,2013,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82013,2687,579,0,0,7.394,180,64.421,373,0,33,4450,0,13,0,80,80,4281,0.0,96,84,169,30,0,20,32,4281
50,2013,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2013,2380,634,0,0,7.069,168,58.517,371,0,58,4650,0,19,0,87,79,4482,0.0,84,78,168,23,0,17,29,4482
51,2013,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322013,2306,570,0,0,7.488,151,64.211,366,0,28,4538,0,16,0,83,83,4268,0.0,91,87,270,45,0,33,25,4268
52,2013,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522013,2061,546,0,0,6.277,200,59.524,325,0,26,3645,0,19,0,79,79,3427,0.0,76,63,218,44,0,21,18,3427
53,2013,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692013,2045,514,0,0,5.486,190,56.615,291,0,31,3181,0,12,0,85,85,2820,0.0,79,57,361,47,0,23,22,2820
54,2013,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292013,2403,659,0,0,6.439,202,67.527,445,0,40,4541,0,17,0,81,81,4243,0.0,89,93,298,44,0,19,26,4243
55,2013,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142013,1766,473,0,0,6.433,197,61.734,292,0,23,3379,0,13,0,79,79,3043,0.0,88,54,336,43,0,20,24,3043
56,2013,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732013,2722,651,0,0,7.555,172,68.51,446,0,25,5162,0,12,0,76,76,4918,0.0,104,85,244,37,0,26,39,4918
57,2013,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92013,1871,417,0,0,7.144,162,58.513,244,0,26,3210,0,8,0,64,64,2979,0.0,91,51,231,39,0,14,21,2979
58,2013,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2013,2535,574,0,0,6.972,183,63.24,363,0,20,4291,0,22,0,91,91,4002,0.0,83,70,289,41,0,16,24,4002
59,2013,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82013,1991,420,0,0,7.705,186,63.571,267,0,14,3508,0,9,0,80,80,3236,0.0,102,54,272,44,0,21,27,3236
60,2014,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242014,1779,579,0,0,6.242,188,62.694,363,0,28,3856,0,13,0,84,80,3614,0.0,86,68,242,39,0,26,23,3614
61,2014,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062014,2190,595,0,0,6.267,188,66.218,394,0,29,4066,0,12,0,50,32,3729,0.0,92,89,337,46,0,15,27,3729
62,2014,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32014,1700,498,0,0,5.916,175,57.631,287,0,31,3206,0,15,0,74,74,2946,0.0,75,68,260,47,0,31,16,2946
63,2014,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2014,2310,609,0,0,6.767,146,64.368,392,0,32,4291,0,9,0,69,69,4121,0.0,97,75,170,26,0,23,34,4121
64,2014,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232014,1739,503,0,0,6.801,152,64.215,323,0,25,3551,0,17,0,81,81,3421,0.0,84,52,130,23,0,20,20,3421
65,2014,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2014,2134,502,0,0,6.902,171,54.582,274,0,22,3678,0,16,0,81,81,3465,0.0,72,42,213,31,0,17,12,3465
66,2014,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2014,2235,554,0,0,6.894,214,62.094,344,0,37,3986,0,12,0,80,80,3819,0.0,91,70,167,19,0,21,27,3819
67,2014,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982014,2715,612,0,0,7.884,153,67.157,411,0,29,4997,0,10,0,94,94,4825,0.0,103,92,172,33,0,5,33,4825
68,2014,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92014,2671,661,0,0,7.404,224,62.027,410,0,40,5062,0,16,0,80,79,4894,0.0,96,89,168,29,0,22,42,4894
69,2014,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2014,1585,557,0,0,5.388,209,58.348,325,0,36,3451,0,18,0,63,63,3001,0.0,72,43,450,71,0,10,15,3001
70,2014,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72014,1917,485,0,0,6.911,155,60.825,295,0,27,3460,0,13,0,76,76,3352,0.0,86,67,108,26,0,6,22,3352
71,2014,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152014,2067,513,0,0,6.651,161,58.285,299,0,23,3738,0,16,0,80,80,3412,0.0,81,56,326,50,0,15,20,3412
72,2014,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02014,2867,607,0,0,7.679,155,65.733,399,0,31,4779,0,15,0,86,86,4661,0.0,101,106,118,17,0,7,40,4661
