Key,Kick Off End Zone,Kick Off Inside 20,Kick Off Kick Offs,Kick Off Onside Attempts,Kick Off Onside Successes,Kick Off OOB,Kick Off Ret Yds,Kick Off Squib Kicks,Kick Off Touchbacks,Kick Off Yds
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2012,20,12,73,2,0,0,1144,0,20,4493
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2012,27,17,71,2,1,0,868,0,34,4545
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2012,30,26,69,2,0,1,1184,0,12,4298
97354895-8c77-4fd4-a860-32e62ea7382a 2012,35,20,112,1,0,0,1229,0,52,7121
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2012,42,23,88,1,0,0,1468,0,27,5727
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2012,25,21,77,2,0,1,853,0,30,4820
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2012,30,16,89,3,0,0,859,0,49,5671
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2012,27,8,75,0,0,0,1103,0,29,4746
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2012,30,13,79,0,0,0,841,0,45,5213
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2012,26,12,69,3,1,2,1009,0,26,4356
82d2d380-3834-4938-835f-aec541e5ece7 2012,33,11,92,2,0,0,1595,0,28,5690
d26a1ca5-722d-4274-8f97-c92e49c96315 2012,21,6,74,3,0,2,860,0,37,4583
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2012,17,7,99,0,0,0,751,0,65,6314
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2012,22,6,58,2,0,2,690,0,27,3579
1c1cec48-6352-4556-b789-35304c1a6ae1 2012,23,11,73,7,0,2,868,0,38,4473
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2012,31,19,84,5,1,1,1102,0,30,5089
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2012,26,13,70,3,1,0,1012,0,26,4405
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2012,43,19,94,1,0,0,1662,0,24,6010
22052ff7-c065-42ee-bc8f-c4691c50e624 2012,24,12,91,2,0,1,1264,0,33,5694
7b112545-38e6-483c-a55c-96cf6ee49cb8 2012,28,16,86,1,0,0,767,0,49,5596
c5a59daa-53a7-4de0-851f-fb12be893e9e 2012,34,16,87,2,1,2,1213,0,30,5282
a20471b4-a8d9-40c7-95ad-90cc30e46932 2012,28,12,88,1,1,1,1193,0,35,5531
33405046-04ee-4058-a950-d606f8c30852 2012,22,14,86,0,0,0,795,0,53,5633
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2012,22,8,87,2,0,0,680,0,58,5593
e6aa13a4-0055-48a9-bc41-be28dc106929 2012,38,20,94,1,0,0,1065,0,45,6094
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2012,22,14,77,1,0,0,739,0,37,4776
0d855753-ea21-4953-89f9-0e20aff9eb73 2012,27,16,92,4,0,2,1049,0,45,5722
f0e724b0-4cbf-495a-be47-013907608da9 2012,33,12,88,0,0,0,1289,0,40,5757
de760528-1dc0-416a-a978-b510d20692ff 2012,22,6,64,3,0,0,846,0,29,3990
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2012,39,22,88,2,0,0,1147,0,36,5689
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2013,29,19,83,1,0,0,1122,0,34,5286
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2013,26,13,75,0,0,1,826,0,38,4836
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2013,22,13,73,1,0,0,938,0,30,4582
97354895-8c77-4fd4-a860-32e62ea7382a 2013,19,15,99,1,1,1,664,0,65,6315
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2013,33,9,86,1,0,1,1219,0,32,5428
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2013,18,10,73,5,0,0,612,0,42,4498
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2013,24,6,82,1,0,1,873,0,42,5114
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2013,21,16,86,3,0,3,1225,0,24,5123
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2013,32,18,88,2,0,2,1085,0,41,5647
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2013,21,16,63,1,0,1,509,0,36,4038
82d2d380-3834-4938-835f-aec541e5ece7 2013,26,12,68,0,0,0,1004,0,29,4449
d26a1ca5-722d-4274-8f97-c92e49c96315 2013,29,7,83,5,1,1,1099,0,32,5056
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2013,26,11,115,2,0,1,936,0,81,7410
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2013,30,12,92,0,0,2,1048,0,47,5937
1c1cec48-6352-4556-b789-35304c1a6ae1 2013,11,8,74,6,0,1,613,0,38,4363
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2013,20,9,93,3,1,0,791,0,52,5815
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2013,26,14,90,2,0,0,1229,0,37,5583
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2013,18,14,71,2,0,0,721,0,35,4424
22052ff7-c065-42ee-bc8f-c4691c50e624 2013,18,13,72,3,0,0,1048,0,22,4324
7b112545-38e6-483c-a55c-96cf6ee49cb8 2013,21,17,90,4,0,1,883,0,38,5271
c5a59daa-53a7-4de0-851f-fb12be893e9e 2013,26,13,84,1,0,3,924,0,45,5350
a20471b4-a8d9-40c7-95ad-90cc30e46932 2013,33,15,93,1,1,1,1577,0,30,5847
33405046-04ee-4058-a950-d606f8c30852 2013,29,11,88,2,0,1,1113,0,44,5494
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2013,16,16,69,4,2,1,452,0,41,4294
e6aa13a4-0055-48a9-bc41-be28dc106929 2013,14,6,79,6,3,0,571,0,50,4836
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2013,13,7,82,1,0,0,407,0,63,5305
0d855753-ea21-4953-89f9-0e20aff9eb73 2013,21,10,87,2,2,0,830,0,52,5572
f0e724b0-4cbf-495a-be47-013907608da9 2013,27,23,92,0,0,0,1104,0,38,5949
de760528-1dc0-416a-a978-b510d20692ff 2013,38,13,87,0,0,0,1298,0,33,5680
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2013,35,18,94,0,0,1,1056,0,48,6118
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2014,19,14,85,3,0,1,639,0,49,5323
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2014,33,15,85,1,0,1,1237,0,37,5448
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2014,30,20,74,1,0,0,1110,0,21,4655
97354895-8c77-4fd4-a860-32e62ea7382a 2014,23,16,99,0,0,1,955,0,53,6328
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2014,37,15,81,1,0,0,1123,0,37,5316
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2014,25,16,71,0,0,0,695,0,40,4679
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2014,21,14,88,2,0,1,601,0,60,5704
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2014,30,12,89,3,0,1,1249,0,32,5552
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2014,21,15,99,3,3,0,587,0,70,6335
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2014,16,8,65,5,2,1,516,0,37,3955
82d2d380-3834-4938-835f-aec541e5ece7 2014,33,12,87,2,0,0,1169,0,40,5680
d26a1ca5-722d-4274-8f97-c92e49c96315 2014,20,5,65,3,0,0,855,0,31,4086
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2014,22,10,99,0,0,0,905,0,64,6437
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2014,29,16,81,1,0,0,1293,0,26,5156
1c1cec48-6352-4556-b789-35304c1a6ae1 2014,17,4,61,6,0,1,683,0,34,3723
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2014,28,16,99,3,1,0,921,0,52,6232
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2014,38,20,98,0,0,0,1183,0,46,6401
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2014,16,10,82,3,2,1,587,0,46,5021
22052ff7-c065-42ee-bc8f-c4691c50e624 2014,21,5,72,1,0,0,1111,0,27,4483
7b112545-38e6-483c-a55c-96cf6ee49cb8 2014,16,14,68,6,1,1,614,0,25,3824
c5a59daa-53a7-4de0-851f-fb12be893e9e 2014,15,10,75,1,0,1,544,0,53,4803
a20471b4-a8d9-40c7-95ad-90cc30e46932 2014,36,14,104,4,0,2,1421,0,41,6407
33405046-04ee-4058-a950-d606f8c30852 2014,13,13,77,1,0,1,579,0,48,4842
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2014,22,9,69,1,0,0,868,0,31,4429
e6aa13a4-0055-48a9-bc41-be28dc106929 2014,21,15,83,2,0,0,820,0,46,5172
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2014,15,7,79,0,0,0,584,0,61,5196
0d855753-ea21-4953-89f9-0e20aff9eb73 2014,33,14,81,2,0,0,1029,0,40,5258
f0e724b0-4cbf-495a-be47-013907608da9 2014,23,12,73,1,0,0,907,0,32,4721
de760528-1dc0-416a-a978-b510d20692ff 2014,35,10,76,1,0,0,967,0,38,5054
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2014,35,18,89,0,0,0,1035,0,46,5807
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2015,25,19,84,2,0,1,688,5,42,5235
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2015,13,5,72,4,1,1,508,2,44,4391
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2015,45,19,86,2,1,1,1168,2,34,5545
97354895-8c77-4fd4-a860-32e62ea7382a 2015,20,15,101,3,2,1,526,4,69,6284
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2015,34,20,89,1,0,0,1041,1,42,5786
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2015,21,13,70,0,0,1,894,5,27,4420
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2015,7,5,74,1,0,0,229,0,63,4753
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2015,32,15,94,1,0,1,1200,7,38,5931
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2015,5,3,77,3,0,0,156,1,67,4832
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2015,17,12,84,5,0,4,553,1,55,5208
82d2d380-3834-4938-835f-aec541e5ece7 2015,31,11,76,2,0,0,977,3,33,4881
d26a1ca5-722d-4274-8f97-c92e49c96315 2015,17,2,66,1,0,1,599,1,43,4272
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2015,12,6,82,3,0,0,508,3,55,5109
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2015,37,19,90,2,0,1,1137,3,40,5721
1c1cec48-6352-4556-b789-35304c1a6ae1 2015,17,14,81,2,0,1,795,3,44,5064
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2015,14,8,73,2,0,0,549,1,49,4620
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2015,22,12,81,3,0,2,705,4,42,4925
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2015,26,16,93,2,0,1,1095,9,37,5697
22052ff7-c065-42ee-bc8f-c4691c50e624 2015,15,10,85,4,1,1,582,1,53,5288
7b112545-38e6-483c-a55c-96cf6ee49cb8 2015,22,15,83,4,1,1,983,7,39,5003
c5a59daa-53a7-4de0-851f-fb12be893e9e 2015,23,14,77,4,1,1,814,3,40,4826
a20471b4-a8d9-40c7-95ad-90cc30e46932 2015,24,12,81,2,1,1,988,3,41,5106
33405046-04ee-4058-a950-d606f8c30852 2015,25,10,87,0,0,0,1043,0,47,5695
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2015,29,13,82,3,0,0,882,4,44,5193
e6aa13a4-0055-48a9-bc41-be28dc106929 2015,16,4,76,2,0,0,599,0,52,4875
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2015,24,13,103,0,0,0,905,2,69,6757
0d855753-ea21-4953-89f9-0e20aff9eb73 2015,26,6,82,1,0,0,981,3,44,5311
f0e724b0-4cbf-495a-be47-013907608da9 2015,12,6,63,2,1,0,591,0,38,3975
de760528-1dc0-416a-a978-b510d20692ff 2015,33,14,99,0,0,0,1191,3,50,6445
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2015,37,20,92,3,0,1,1073,0,47,5930
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2016,19,13,84,3,0,1,999,4,35,5074
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2016,12,7,74,0,0,0,632,0,43,4768
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2016,16,10,70,1,0,0,665,1,39,4425
97354895-8c77-4fd4-a860-32e62ea7382a 2016,15,16,93,0,0,1,771,1,52,5924
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2016,18,16,77,1,0,0,891,2,36,4854
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2016,9,7,66,3,1,2,510,0,38,4063
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2016,8,6,81,1,0,1,559,0,52,5104
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2016,15,9,86,2,0,3,717,1,52,5328
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2016,18,13,89,1,1,0,825,1,49,5697
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2016,4,3,77,4,0,2,273,3,60,4727
82d2d380-3834-4938-835f-aec541e5ece7 2016,17,7,76,4,1,1,1135,1,23,4567
d26a1ca5-722d-4274-8f97-c92e49c96315 2016,9,5,83,3,0,2,462,1,58,5145
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2016,6,10,81,3,1,1,526,2,51,4936
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2016,13,7,86,2,0,1,843,0,48,5355
1c1cec48-6352-4556-b789-35304c1a6ae1 2016,15,17,88,0,0,0,896,2,43,5630
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2016,20,9,91,1,0,0,746,0,57,5827
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2016,15,17,87,3,0,0,712,1,46,5439
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2016,10,5,72,1,0,2,730,2,37,4445
22052ff7-c065-42ee-bc8f-c4691c50e624 2016,10,12,92,2,0,1,534,1,65,5788
7b112545-38e6-483c-a55c-96cf6ee49cb8 2016,22,12,65,3,1,0,777,1,26,4024
c5a59daa-53a7-4de0-851f-fb12be893e9e 2016,10,9,80,3,0,1,494,0,53,4935
a20471b4-a8d9-40c7-95ad-90cc30e46932 2016,17,9,89,2,0,1,1080,0,46,5608
33405046-04ee-4058-a950-d606f8c30852 2016,18,8,79,3,1,1,980,0,38,4932
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2016,17,8,81,3,0,1,583,1,52,5090
e6aa13a4-0055-48a9-bc41-be28dc106929 2016,16,17,112,0,0,0,905,0,72,7236
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2016,8,10,87,1,0,0,417,1,63,5568
0d855753-ea21-4953-89f9-0e20aff9eb73 2016,20,11,93,4,1,1,898,3,49,5693
f0e724b0-4cbf-495a-be47-013907608da9 2016,11,12,72,3,0,2,869,2,24,4259
de760528-1dc0-416a-a978-b510d20692ff 2016,17,9,83,2,0,1,671,1,52,5220
2eff2a03-54d4-46ba-890e-2bc3925548f3 2016,12,8,59,1,0,0,430,2,36,3794
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2016,12,9,87,1,0,0,654,3,54,5542
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2017,16,7,74,5,1,0,681,7,37,4361
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2017,16,12,67,5,4,0,665,0,28,4013
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2017,14,7,72,4,1,1,459,1,45,4404
97354895-8c77-4fd4-a860-32e62ea7382a 2017,20,20,99,1,0,0,1095,2,40,6228
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2017,9,4,67,0,0,1,811,0,31,4210
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2017,4,4,57,4,0,0,471,2,33,3350
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2017,5,12,90,2,0,0,615,1,55,5601
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2017,19,13,90,0,0,1,906,2,46,5681
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2017,7,7,70,1,0,0,441,0,46,4385
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2017,12,7,92,3,1,2,817,8,48,5439
82d2d380-3834-4938-835f-aec541e5ece7 2017,11,9,76,1,0,0,547,2,49,4764
d26a1ca5-722d-4274-8f97-c92e49c96315 2017,19,9,80,1,0,0,750,0,47,5120
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2017,10,5,73,6,0,0,497,2,45,4309
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2017,21,9,77,0,0,0,1150,1,31,4926
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2017,12,6,97,0,0,0,486,5,71,6232
1c1cec48-6352-4556-b789-35304c1a6ae1 2017,7,7,64,1,1,0,298,0,48,4058
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2017,15,11,80,0,0,0,759,0,45,5159
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2017,16,10,94,1,1,1,1015,2,45,5834
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2017,10,9,62,2,0,2,656,0,26,3759
22052ff7-c065-42ee-bc8f-c4691c50e624 2017,11,11,79,2,0,1,448,1,53,4987
7b112545-38e6-483c-a55c-96cf6ee49cb8 2017,12,9,60,0,0,0,699,2,28,3780
c5a59daa-53a7-4de0-851f-fb12be893e9e 2017,20,16,91,1,0,0,878,1,47,5769
a20471b4-a8d9-40c7-95ad-90cc30e46932 2017,9,4,68,2,2,0,665,1,36,4248
33405046-04ee-4058-a950-d606f8c30852 2017,18,9,89,0,0,0,1023,2,44,5638
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2017,23,9,77,3,0,0,1167,4,27,4704
e6aa13a4-0055-48a9-bc41-be28dc106929 2017,18,7,84,2,0,0,863,0,49,5332
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2017,5,2,83,1,0,1,254,0,70,5313
0d855753-ea21-4953-89f9-0e20aff9eb73 2017,24,14,95,3,0,2,788,0,59,6037
f0e724b0-4cbf-495a-be47-013907608da9 2017,9,3,83,2,1,1,302,3,64,5166
de760528-1dc0-416a-a978-b510d20692ff 2017,18,9,77,2,0,1,880,3,34,4715
2eff2a03-54d4-46ba-890e-2bc3925548f3 2017,12,8,103,0,0,2,520,0,78,6586
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2017,12,12,80,1,0,1,790,1,39,4962
768c92aa-75ff-4a43-bcc0-f2798c2e1724 2018,11,9,66,3,0,0,754,4,30,3958
4809ecb0-abd3-451d-9c4a-92a90b83ca06 2018,3,1,70,1,0,1,339,0,55,4395
5fee86ae-74ab-4bdd-8416-42a9dd9964f3 2018,9,3,83,0,0,0,539,1,60,5311
97354895-8c77-4fd4-a860-32e62ea7382a 2018,14,5,93,0,0,0,1034,2,50,5784
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123 2018,16,7,79,1,0,1,705,1,45,4969
d5a2eb42-8065-4174-ab79-0a6fa820e35e 2018,10,3,79,1,0,1,574,0,52,4972
ebd87119-b331-4469-9ea6-d51fe3ce2f1c 2018,15,5,92,1,0,1,745,3,58,5765
cb2f9f1f-ac67-424e-9e72-1475cb0ed398 2018,11,6,85,0,0,0,727,0,50,5328
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9 2018,9,7,88,2,0,0,595,1,59,5435
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de 2018,5,5,64,2,1,0,374,2,41,3908
82d2d380-3834-4938-835f-aec541e5ece7 2018,16,9,92,1,0,0,682,0,58,5885
d26a1ca5-722d-4274-8f97-c92e49c96315 2018,9,3,72,2,0,0,696,0,45,4536
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0 2018,12,10,73,4,0,1,581,0,42,4473
1f6dcffb-9823-43cd-9ff4-e7a8466749b5 2018,21,8,88,0,0,0,1322,1,27,5526
6680d28d-d4d2-49f6-aace-5292d3ec02c2 2018,14,9,111,1,0,3,809,0,72,7060
1c1cec48-6352-4556-b789-35304c1a6ae1 2018,14,7,71,3,0,1,922,0,29,4326
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060 2018,13,3,77,0,0,0,662,0,52,4984
386bdbf9-9eea-4869-bb9a-274b0bc66e80 2018,7,6,82,1,0,0,540,0,57,5210
04aa1c9d-66da-489d-b16a-1dee3f2eec4d 2018,9,4,85,4,1,3,570,0,51,5186
22052ff7-c065-42ee-bc8f-c4691c50e624 2018,6,1,70,1,0,0,295,1,56,4443
7b112545-38e6-483c-a55c-96cf6ee49cb8 2018,9,5,89,1,1,1,548,1,65,5627
c5a59daa-53a7-4de0-851f-fb12be893e9e 2018,15,9,79,5,1,0,837,0,37,4802
a20471b4-a8d9-40c7-95ad-90cc30e46932 2018,19,8,84,3,0,0,1022,0,41,5229
33405046-04ee-4058-a950-d606f8c30852 2018,9,4,79,4,0,2,722,2,44,4791
4254d319-1bc7-4f81-b4ab-b5e6f3402b69 2018,12,8,86,2,0,0,714,3,51,5349
e6aa13a4-0055-48a9-bc41-be28dc106929 2018,13,5,89,2,0,0,818,0,51,5578
f14bf5cc-9a82-4a38-bc15-d39f75ed5314 2018,8,3,78,1,0,0,406,0,60,4938
0d855753-ea21-4953-89f9-0e20aff9eb73 2018,22,9,103,0,0,0,885,2,64,6598
f0e724b0-4cbf-495a-be47-013907608da9 2018,10,4,81,2,0,0,662,1,52,5065
de760528-1dc0-416a-a978-b510d20692ff 2018,9,5,56,1,0,1,583,0,28,3534
2eff2a03-54d4-46ba-890e-2bc3925548f3 2018,8,6,107,0,0,1,652,0,77,6849
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8 2018,15,9,83,3,0,1,919,0,42,5055
